EVENT_NAME,BOUT,RED_CORNER,BLUE_CORNER,OUTCOME,WEIGHTCLASS,METHOD,ROUND,TIME,TOTAL_TIME_SEC,TIME_FORMAT,REFEREE,DETAILS,EVENT_DATE,LOCATION,URL
"UFC Fight Night: Tuivasa vs. Tybura","Tai Tuivasa  vs. Marcin Tybura","Tai Tuivasa","Marcin Tybura",blue,"Heavyweight Bout",Submission,1,04:08:00.000,248,"5 Rnd (5-5-5-5-5)","Herb Dean","Rear Naked Choke",2024-03-16,"Las Vegas, Nevada, USA","http://ufcstats.com/fight-details/8bc0c220f7dcefa7"
"UFC Fight Night: Tuivasa vs. Tybura","Bryan Battle  vs. Ange Loosa","Bryan Battle","Ange Loosa","no contests","Welterweight Bout","Could Not Continue",2,01:00:00.000,360,"3 Rnd (5-5-5)","Mike Beltran","Eye injury to Loosa",2024-03-16,"Las Vegas, Nevada, USA","http://ufcstats.com/fight-details/a7fd9da657bbce8e"
"UFC Fight Night: Tuivasa vs. Tybura","Ovince Saint Preux  vs. Kennedy Nzechukwu","Ovince Saint Preux","Kennedy Nzechukwu",red,"Light Heavyweight Bout","Decision - Split",3,05:00:00.000,900,"3 Rnd (5-5-5)","Mark Smith","Adalaide Byrd 28 - 29.Derek Cleary 29 - 28.Junichiro Kamijo 28 - 29.",2024-03-16,"Las Vegas, Nevada, USA","http://ufcstats.com/fight-details/35f9beb94b4ef9e2"
"UFC Fight Night: Tuivasa vs. Tybura","Christian Rodriguez  vs. Isaac Dulgarian","Christian Rodriguez","Isaac Dulgarian",red,"Featherweight Bout","Decision - Split",3,05:00:00.000,900,"3 Rnd (5-5-5)","Chris Tognoni","Sal D'amato 27 - 28.Anthony Maness 28 - 27.Ron McCarthy 27 - 28.",2024-03-16,"Las Vegas, Nevada, USA","http://ufcstats.com/fight-details/acc7392d48cc09a0"
"UFC Fight Night: Tuivasa vs. Tybura","Pannie Kianzad  vs. Macy Chiasson","Pannie Kianzad","Macy Chiasson",blue,"Women's Bantamweight Bout",Submission,1,03:54:00.000,234,"3 Rnd (5-5-5)","Mark Smith","Rear Naked Choke",2024-03-16,"Las Vegas, Nevada, USA","http://ufcstats.com/fight-details/2f414494f2b6f426"
"UFC Fight Night: Tuivasa vs. Tybura","Gerald Meerschaert  vs. Bryan Barberena","Gerald Meerschaert","Bryan Barberena",red,"Middleweight Bout",Submission,2,04:23:00.000,563,"3 Rnd (5-5-5)","Herb Dean","Rear Naked Choke",2024-03-16,"Las Vegas, Nevada, USA","http://ufcstats.com/fight-details/569e0ba18701c305"
"UFC Fight Night: Tuivasa vs. Tybura","Natan Levy  vs. Mike Davis","Natan Levy","Mike Davis",blue,"Lightweight Bout",Submission,2,01:43:00.000,403,"3 Rnd (5-5-5)","Mike Beltran","Arm Triangle From Mount",2024-03-16,"Las Vegas, Nevada, USA","http://ufcstats.com/fight-details/4f20f3ada1489823"
"UFC Fight Night: Tuivasa vs. Tybura","Josiane Nunes  vs. Chelsea Chandler","Josiane Nunes","Chelsea Chandler",blue,"Women's Bantamweight Bout","Decision - Unanimous",3,05:00:00.000,900,"3 Rnd (5-5-5)","Chris Tognoni","Mike Bell 28 - 29.Adalaide Byrd 28 - 29.Derek Cleary 28 - 29.",2024-03-16,"Las Vegas, Nevada, USA","http://ufcstats.com/fight-details/711ec0545552455b"
"UFC Fight Night: Tuivasa vs. Tybura","Jafel Filho  vs. Ode Osbourne","Jafel Filho","Ode Osbourne",red,"Flyweight Bout",Submission,1,04:27:00.000,267,"3 Rnd (5-5-5)","Herb Dean","Rear Naked Choke",2024-03-16,"Las Vegas, Nevada, USA","http://ufcstats.com/fight-details/451df53c13185584"
"UFC Fight Night: Tuivasa vs. Tybura","Josh Culibao  vs. Danny Silva","Josh Culibao","Danny Silva",blue,"Featherweight Bout","Decision - Split",3,05:00:00.000,900,"3 Rnd (5-5-5)","Mark Smith","Derek Cleary 28 - 29.Sal D'amato 29 - 28.Ron McCarthy 28 - 29.",2024-03-16,"Las Vegas, Nevada, USA","http://ufcstats.com/fight-details/c26f27667c230391"
