event,date,fighter,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Ange Loosa,6.62745098039216,49.5601173020528,6.50980392156863,52.5035765379113,2.35294117647059,47.0588235294118,87.5,0.0
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Bryan Barberena,5.3508049419693,48.0435659540137,4.59153874953201,44.1835062807209,0.134780980906028,22.2222222222222,50.0,0.269561961812055
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Bryan Battle,4.52093023255814,51.7021276595745,3.73953488372093,44.7802197802198,1.11627906976744,28.5714285714286,47.6190476190476,0.558139534883721
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Chad Anheliger,3.71787549971445,43.4869739478958,3.37521416333524,54.1860465116279,1.02798400913764,36.3636363636364,31.25,0.513992004568818
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Charalampos Grigoriou,1.4,32.3076923076923,5.66666666666667,45.1612903225806,4.0,80.0,100.0,0.0
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Chelsea Chandler,3.44525547445255,45.2107279693487,3.0948905109489,49.0384615384615,1.31386861313869,60.0,33.3333333333333,0.0
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Christian Rodriguez,3.04133090720042,52.4193548387097,2.07434364439823,56.8181818181818,1.40369118793865,54.5454545454545,64.0,1.40369118793865
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Cory McKenna,2.96108826320785,37.956204379562,3.64441632394812,47.1074380165289,2.56248022777602,56.25,60.0,0.569440050616893
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Danny Silva,3.0,42.0560747663551,5.8,56.9306930693069,4.0,44.4444444444444,100.0,1.0
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Gerald Meerschaert,3.17912694430507,45.0511945392491,3.37180130456598,53.5655058043118,2.16758655293527,38.0952380952381,34.4827586206897,1.62568991470146
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Isaac Dulgarian,2.87878787878788,58.7628865979382,2.52525252525253,39.7590361445783,6.06060606060606,47.0588235294118,,1.51515151515152
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Jafel Filho,2.27509293680297,40.4761904761905,1.51672862453532,47.6923076923077,1.33828996282528,40.0,50.0,3.3457249070632
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Jaqueline Amorim,3.33150082462892,52.3316062176166,1.84716877405168,62.9139072847682,1.48433205057724,23.0769230769231,0.0,5.44255085211655
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Josh Culibao,3.19822320932815,42.7934621099554,3.24264297612438,56.9321533923304,0.0,0.0,67.741935483871,0.333148250971682
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Josiane Nunes,5.99198396793587,44.8275862068966,5.25050100200401,53.4635879218472,0.0,,58.3333333333333,0.0
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Kennedy Nzechukwu,4.80443486295042,48.8262910798122,4.87834924545735,50.974930362117,0.692947336002464,45.4545454545455,81.6666666666667,0.277178934400986
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Macy Chiasson,3.53408338848445,44.7798742138365,2.53143613500993,46.7640918580376,2.38252812706817,37.2093023255814,62.5,0.446724023825281
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Marcin Tybura,3.60299116247451,48.8629379225569,3.35372762293225,55.3140096618357,1.42760027192386,33.3333333333333,79.4117647058823,0.135961930659415
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Mike Davis,5.40214109250618,53.5073409461664,5.35273126544057,57.7373211963589,3.45868789459237,63.6363636363636,61.5384615384615,0.494098270656053
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Mitch Ramirez,1.5609756097561,33.3333333333333,2.4390243902439,35.8974358974359,0.0,,0.0,0.0
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Natan Levy,4.13793103448276,51.9417475728155,3.69320012890751,59.0128755364807,5.51079600386723,55.8823529411765,37.5,0.0
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Ode Osbourne,3.3872444308819,38.1443298969072,4.54073848031736,44.7661469933185,1.0985657613671,23.5294117647059,61.5384615384615,0.0
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Ovince Saint Preux,3.0697129466901,45.7242582897033,3.78441710603398,47.1358428805237,0.878734622144112,28.8461538461538,68.421052631579,0.351493848857645
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Pannie Kianzad,4.73744437380801,49.0521327014218,3.66942148760331,53.6162005785921,0.457724094087731,33.3333333333333,66.6666666666667,0.114431023521933
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Tai Tuivasa,3.9635761589404,49.6268656716418,5.04635761589404,43.1131019036954,0.0,0.0,57.6923076923077,0.0
UFC Fight Night: Tuivasa vs. Tybura,2024-03-16,Thiago Moises,2.28199674715376,40.2116402116402,4.22619792318278,55.4235946159937,1.68897785562367,44.1176470588235,56.7567567567568,1.35118228449894
"UFC 299: O'Malley vs. Vera 2",2024-03-09,Asu Almabayev,3.01941049604601,59.8290598290598,1.4234363767074,53.5211267605634,7.11718188353702,57.8947368421053,,1.294033069734
"UFC 299: O'Malley vs. Vera 2",2024-03-09,Benoit Saint Denis,5.69632815084353,54.6666666666667,4.98180615282832,42.8246013667426,4.76347998676811,37.2093023255814,69.2307692307692,1.48858749586503
