FIGHTER_NAME,WINS,LOSSES,DRAWS,NO_CONTESTS,HEIGHT_CM,WEIGHT_KG,REACH_CM,STANCE,BIRTHDAY,SLPM,STR_ACC,SAPM,STR_DEF,TD_AVG,TD_ACC,TD_DEF,SUB_AVG,URL
"Tom Aaron",5,3,0,0,,70.306760,,,1978-07-13,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/93fe7332d16c6ad9"
"Danny Abbadi",4,6,0,0,180.34,70.306760,,Orthodox,1983-07-03,3.29,38,4.41,57,0.00,0,77,0.0,"http://ufcstats.com/fighter-details/15df64c02b6b0fde"
"Nariman Abbasov",28,4,0,0,172.72,70.306760,167.64,Orthodox,1994-02-01,3.00,20,5.67,46,0.00,0,66,0.0,"http://ufcstats.com/fighter-details/59a9d6dac61c2540"
"David Abbott",10,15,0,0,182.88,120.201880,,Switch,,1.35,30,3.55,38,1.07,33,66,0.0,"http://ufcstats.com/fighter-details/b361180739bed4b0"
"Hamdy Abdelwahab",5,0,0,1,187.96,119.748288,182.88,Southpaw,1993-01-22,3.87,52,3.13,59,3.00,75,0,0.0,"http://ufcstats.com/fighter-details/3329d692aea4dc28"
"Shamil Abdurakhimov",20,8,0,0,190.50,106.594120,193.04,Orthodox,1981-09-02,2.41,44,3.02,55,1.01,23,45,0.1,"http://ufcstats.com/fighter-details/2f5cbecbbe18bac4"
"Hiroyuki Abe",8,15,3,1,167.64,65.770840,,Orthodox,,1.71,36,3.11,63,0.00,0,33,0.0,"http://ufcstats.com/fighter-details/c0ed7b208197e8de"
"Daichi Abe",6,2,0,0,180.34,77.110640,180.34,Orthodox,1991-11-27,3.80,33,4.49,56,0.33,50,0,0.0,"http://ufcstats.com/fighter-details/5140122c3eecd307"
"Papy Abedi",10,4,0,0,180.34,83.914520,,Southpaw,1978-06-30,2.80,55,3.15,48,3.47,57,50,1.3,"http://ufcstats.com/fighter-details/c9f6385af6df66d7"
"Ricardo Abreu",5,1,0,0,180.34,83.914520,,Orthodox,1984-04-27,3.79,31,3.98,68,2.13,42,100,0.7,"http://ufcstats.com/fighter-details/aa6e591c2a2cdecd"
"Klidson Abreu",15,4,0,1,182.88,92.986360,187.96,Orthodox,1992-12-24,2.05,40,2.90,55,0.64,20,80,0.0,"http://ufcstats.com/fighter-details/7279654c7674cd24"
"Cyborg Abreu",0,0,0,0,,,,,1980-12-20,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/f689bd7bbd14b392"
"Daniel Acacio",30,18,0,0,172.72,81.646560,,Orthodox,1977-12-27,3.52,36,2.85,62,0.33,20,81,0.0,"http://ufcstats.com/fighter-details/1c5879330d42255f"
"John Adajar",6,2,0,0,175.26,77.110640,190.50,Orthodox,1991-06-22,3.90,52,6.28,44,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/989b85f6540c86b1"
"Scott Adams",8,1,0,0,182.88,102.058200,,Southpaw,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/2620f3eb21c79614"
"Juan Adams",5,3,0,0,195.58,120.201880,203.20,Orthodox,1992-01-16,7.09,55,4.06,34,0.91,66,57,0.0,"http://ufcstats.com/fighter-details/83b00f7597e5ac83"
"Anthony Adams",8,2,0,0,185.42,83.914520,193.04,Orthodox,1988-01-13,3.17,41,5.93,44,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/a77633a989013265"
"Zarrukh Adashev",4,4,0,0,165.10,56.699000,165.10,Southpaw,1992-07-29,3.65,40,3.04,64,0.00,0,100,0.5,"http://ufcstats.com/fighter-details/79cb2a690b9ba5e8"
"Israel Adesanya",24,3,0,0,193.04,83.914520,203.20,Switch,1989-07-22,3.93,48,3.11,56,0.05,14,77,0.1,"http://ufcstats.com/fighter-details/1338e2c7480bdf9e"
"Sam Adkins",7,20,2,0,190.50,102.058200,,Orthodox,1965-04-26,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/0e9869d712e81f8f"
"Nick Agallar",24,6,0,0,172.72,70.306760,,Orthodox,1979-01-13,0.69,11,4.56,42,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/ebc5af72ad5a28cb"
"Mariya Agapova",10,4,0,0,167.64,56.699000,172.72,Southpaw,1997-04-07,4.67,55,3.82,52,0.59,66,47,0.9,"http://ufcstats.com/fighter-details/a08ddd04eaffd81d"
"Marcelo Aguiar",2,3,1,0,177.80,77.110640,,Orthodox,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/44aa652b181bcf68"
"Fabio Aguiar",17,1,0,0,182.88,83.914520,,,1988-02-10,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/501821d7fb7b95c1"
"Edwin Aguilar",26,19,0,1,177.80,83.914520,,,,0.00,0,0.00,0,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/6cadc0a0ba7dc015"
"Jessica Aguilar",20,8,0,0,160.02,52.163080,160.02,Orthodox,1982-05-08,4.93,50,7.19,53,0.94,25,50,0.2,"http://ufcstats.com/fighter-details/8f382b3baa954d2a"
"Kevin Aguilar",17,5,0,0,170.18,70.306760,185.42,Orthodox,1988-09-07,3.96,40,4.81,52,0.16,16,78,0.0,"http://ufcstats.com/fighter-details/cf946e03ba2e7666"
"Jesus Aguilar",10,2,0,0,162.56,56.699000,157.48,Orthodox,1996-03-13,1.49,50,1.11,59,1.90,33,40,1.4,"http://ufcstats.com/fighter-details/c051c2e12d692b8a"
"Christian Aguilera",14,8,0,0,175.26,77.110640,182.88,Switch,1991-11-25,2.54,37,4.04,48,0.00,0,60,0.0,"http://ufcstats.com/fighter-details/ae071698e1a3ccd4"
"Nick Aguirre",7,2,0,0,175.26,61.234920,187.96,Southpaw,1996-01-15,0.73,33,2.89,45,1.16,20,33,0.6,"http://ufcstats.com/fighter-details/0978385b2bd9ef9b"
"Mike Aina",14,6,1,1,175.26,70.306760,,Orthodox,,2.87,33,6.33,59,0.00,0,71,0.0,"http://ufcstats.com/fighter-details/9e3dbb9c68ed5d1a"
"Ashiek Ajim",6,2,0,0,172.72,61.234920,180.34,Switch,1994-06-19,5.00,40,11.25,25,0.00,0,0,0.0,"http://ufcstats.com/fighter-details/49dea784f6cfed71"
"Hitomi Akano",18,10,0,0,162.56,61.234920,,Southpaw,1974-07-27,0.59,45,2.58,55,0.00,0,8,0.5,"http://ufcstats.com/fighter-details/2eada40ac8801559"
